url,title
https://en.wikipedia.org/wiki/House_Party_(Jimmy_Smith_album),House Party (Jimmy Smith album)
https://en.wikipedia.org/wiki/Sonic_Boom_(Lee_Morgan_album),Sonic Boom (Lee Morgan album)
https://en.wikipedia.org/wiki/Greasy_Kid_Stuff!,Greasy Kid Stuff!
https://en.wikipedia.org/wiki/The_Young_Lions_(album),The Young Lions (album)
https://en.wikipedia.org/wiki/Charles_III_(album),Charles III (album)
https://en.wikipedia.org/wiki/Kelly_Great,Kelly Great
https://en.wikipedia.org/wiki/Drums_Around_the_World,Drums Around the World
https://en.wikipedia.org/wiki/The_Procrastinator,The Procrastinator
https://en.wikipedia.org/wiki/Night_Dreamer,Night Dreamer
https://en.wikipedia.org/wiki/A_New_Perspective,A New Perspective
https://en.wikipedia.org/wiki/Lee_Morgan_Vol._3,"Lee Morgan, Vol. 3"
https://en.wikipedia.org/wiki/Standards_(Lee_Morgan_album),Standards (Lee Morgan album)
https://en.wikipedia.org/wiki/The_Sidewinder,The Sidewinder
https://en.wikipedia.org/wiki/Mode_for_Joe,Mode for Joe
https://en.wikipedia.org/wiki/Caramba!_(Lee_Morgan_album),Caramba! (Lee Morgan album)
https://en.wikipedia.org/wiki/The_Cooker,The Cooker
https://en.wikipedia.org/wiki/Here%27s_Lee_Morgan,Here's Lee Morgan
https://en.wikipedia.org/wiki/Last_Chorus,Last Chorus
https://en.wikipedia.org/wiki/Search_for_the_New_Land,Search for the New Land
https://en.wikipedia.org/wiki/The_Prime_Element,The Prime Element
https://en.wikipedia.org/wiki/Flute-In,Flute-In
https://en.wikipedia.org/wiki/City_Lights_(Lee_Morgan_album),City Lights (Lee Morgan album)
https://en.wikipedia.org/wiki/The_Last_Session_(Lee_Morgan_album),The Last Session (Lee Morgan album)
https://en.wikipedia.org/wiki/Round_Midnight_(soundtrack),Round Midnight (soundtrack)
https://en.wikipedia.org/wiki/Candy_(Lee_Morgan_album),Candy (Lee Morgan album)
https://en.wikipedia.org/wiki/Mother_Ship,Mother Ship
https://en.wikipedia.org/wiki/Delightfulee,Delightfulee
https://en.wikipedia.org/wiki/Expoobident,Expoobident
https://en.wikipedia.org/wiki/Take_Twelve,Take Twelve
https://en.wikipedia.org/wiki/Benny_Golson_and_the_Philadelphians,Benny Golson and the Philadelphians
https://en.wikipedia.org/wiki/The_Rumproller,The Rumproller
https://en.wikipedia.org/wiki/Minor_Move,Minor Move
https://en.wikipedia.org/wiki/Cliff_Jordan_(album),Cliff Jordan (album)
https://en.wikipedia.org/wiki/The_Gigolo_(album),The Gigolo (album)
https://en.wikipedia.org/wiki/My_Point_of_View,My Point of View
https://en.wikipedia.org/wiki/The_Cool_Voice_of_Rita_Reys,The Cool Voice of Rita Reys
https://en.wikipedia.org/wiki/Takin%27_Off,Takin' Off
https://en.wikipedia.org/wiki/Horace_Silver_and_the_Jazz_Messengers,Horace Silver and the Jazz Messengers
https://en.wikipedia.org/wiki/Empyrean_Isles,Empyrean Isles
https://en.wikipedia.org/wiki/Third_Plane,Third Plane
https://en.wikipedia.org/wiki/Red_Clay,Red Clay
https://en.wikipedia.org/wiki/VSOP_(album),VSOP (album)
https://en.wikipedia.org/wiki/Straight_Life_(Freddie_Hubbard_album),Straight Life (Freddie Hubbard album)
https://en.wikipedia.org/wiki/Maiden_Voyage_(Herbie_Hancock_album),Maiden Voyage (Herbie Hancock album)
https://en.wikipedia.org/wiki/Blow-Up_(soundtrack),Blow-Up (soundtrack)
https://en.wikipedia.org/wiki/The_Quintet_(album),The Quintet (album)
https://en.wikipedia.org/wiki/Hub-Tones,Hub-Tones
"https://en.wikipedia.org/wiki/At_the_Cafe_Bohemia,_Vol._1",At the Cafe Bohemia
https://en.wikipedia.org/wiki/River:_The_Joni_Letters,River: The Joni Letters
https://en.wikipedia.org/wiki/An_Evening_with_Herbie_Hancock_%26_Chick_Corea:_In_Concert,An Evening with Herbie Hancock & Chick Corea: In Concert
https://en.wikipedia.org/wiki/CoreaHancock,CoreaHancock
"https://en.wikipedia.org/wiki/Sonny_Rollins,_Vol._2","Sonny Rollins, Vol. 2"
https://en.wikipedia.org/wiki/Royal_Flush_(album),Royal Flush (album)
https://en.wikipedia.org/wiki/The_Jazz_Messengers_(1956_album),The Jazz Messengers (album)
